,0
PC271,8.406771e-06
PC272,8.296835e-06
PC273,8.187849e-06
PC274,8.16416e-06
PC275,7.9626525e-06
PC276,7.872588e-06
PC277,7.632115e-06
PC278,7.575175e-06
PC279,7.4190402e-06
PC280,7.2937855e-06
PC281,7.150496e-06
PC282,7.115019e-06
PC283,6.9714047e-06
PC284,6.8568474e-06
PC285,6.7871442e-06
PC286,6.7276774e-06
PC287,6.66637e-06
PC288,6.566483e-06
PC289,6.505542e-06
PC290,6.4215837e-06
PC291,6.309093e-06
PC292,6.242293e-06
PC293,6.166313e-06
PC294,6.086553e-06
PC295,6.0096045e-06
PC296,5.947112e-06
PC297,5.8379237e-06
PC298,5.790637e-06
PC299,5.7729926e-06
PC300,5.702931e-06
PC301,5.5352775e-06
PC302,5.5123446e-06
PC303,5.414731e-06
PC304,5.354453e-06
PC305,5.2345245e-06
PC306,5.152966e-06
PC307,5.135183e-06
PC308,5.007196e-06
PC309,4.9704518e-06
PC310,4.9236205e-06
PC311,4.8752954e-06
PC312,4.8520214e-06
PC313,4.6575583e-06
PC314,4.616984e-06
PC315,4.5264746e-06
PC316,4.5240376e-06
PC317,4.4655803e-06
PC318,4.4176522e-06
PC319,4.308433e-06
PC320,4.271322e-06
PC321,4.2327692e-06
PC322,4.193907e-06
PC323,4.1287367e-06
PC324,4.0686155e-06
PC325,4.0415257e-06
PC326,3.97512e-06
PC327,3.950566e-06
PC328,3.9029983e-06
PC329,3.8699754e-06
PC330,3.8365583e-06
PC331,3.7720274e-06
PC332,3.7437303e-06
PC333,3.699351e-06
PC334,3.6235756e-06
PC335,3.4959603e-06
PC336,3.4943746e-06
PC337,3.4566133e-06
PC338,3.4324537e-06
PC339,3.409173e-06
PC340,3.3378462e-06
PC341,3.3039541e-06
PC342,3.2711928e-06
PC343,3.2159649e-06
PC344,3.179014e-06
PC345,3.1411364e-06
PC346,3.1129418e-06
PC347,3.0427032e-06
PC348,3.0254841e-06
PC349,2.998249e-06
PC350,2.9705366e-06
PC351,2.9332793e-06
PC352,2.8853904e-06
PC353,2.8769493e-06
PC354,2.8292927e-06
PC355,2.8228787e-06
PC356,2.7969618e-06
PC357,2.772377e-06
PC358,2.728605e-06
PC359,2.7029507e-06
PC360,2.6346936e-06
PC361,2.60795e-06
PC362,2.5742606e-06
PC363,2.5521226e-06
PC364,2.5158495e-06
PC365,2.4903036e-06
PC366,2.455815e-06
PC367,2.4253957e-06
PC368,2.386938e-06
PC369,2.3650143e-06
PC370,2.3311027e-06
PC371,2.322786e-06
PC372,2.275487e-06
PC373,2.257157e-06
PC374,2.2326399e-06
PC375,2.2234753e-06
PC376,2.1636515e-06
PC377,2.137956e-06
PC378,2.130061e-06
PC379,2.0870614e-06
PC380,2.0828563e-06
PC381,2.0613895e-06
PC382,2.0343098e-06
PC383,2.0064263e-06
PC384,1.9728038e-06
PC385,1.9418887e-06
PC386,1.9212248e-06
PC387,1.8941657e-06
PC388,1.8882995e-06
PC389,1.8697745e-06
PC390,1.8632902e-06
PC391,1.8353403e-06
PC392,1.8084379e-06
PC393,1.7850265e-06
PC394,1.7570851e-06
PC395,1.7307619e-06
PC396,1.7191921e-06
PC397,1.7138666e-06
PC398,1.684064e-06
PC399,1.6740103e-06
PC400,1.6578721e-06
PC401,1.6347705e-06
PC402,1.6204747e-06
PC403,1.6078773e-06
PC404,1.5896497e-06
PC405,1.5756068e-06
PC406,1.5291286e-06
PC407,1.5187358e-06
PC408,1.5010971e-06
PC409,1.4950879e-06
PC410,1.4815936e-06
PC411,1.4704623e-06
PC412,1.4494591e-06
PC413,1.4342869e-06
PC414,1.4221444e-06
PC415,1.4070492e-06
PC416,1.3917969e-06
PC417,1.3836631e-06
PC418,1.3608908e-06
PC419,1.3520169e-06
PC420,1.3366739e-06
PC421,1.3170916e-06
PC422,1.3021572e-06
PC423,1.298749e-06
PC424,1.2888496e-06
PC425,1.266348e-06
PC426,1.2607836e-06
PC427,1.2347155e-06
PC428,1.2263808e-06
PC429,1.2150161e-06
PC430,1.1990328e-06
PC431,1.184707e-06
PC432,1.1798371e-06
PC433,1.166011e-06
PC434,1.1487288e-06
PC435,1.1426002e-06
PC436,1.131313e-06
PC437,1.1164227e-06
PC438,1.1083118e-06
PC439,1.0854428e-06
PC440,1.06505e-06
PC441,1.062174e-06
PC442,1.0476045e-06
PC443,1.0408319e-06
PC444,1.024223e-06
PC445,1.0211135e-06
PC446,1.0097475e-06
PC447,9.987266e-07
PC448,9.859858e-07
PC449,9.692593e-07
PC450,9.614539e-07
PC451,9.5226454e-07
PC452,9.480067e-07
PC453,9.332047e-07
PC454,9.2342265e-07
PC455,9.107027e-07
PC456,9.0616936e-07
